issue_time_utc,issue_time_local,target_time_utc,target_time_local,lead_h,horizon,revision,power_t1,power_t2,power_farm,p10,p90,ws100_fc,wx_field,wx_model,model_name,fallback_used,run_id
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,0,24h,0,0.0139,0.015,0.0141,0.0,0.0502,0.21,day1,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-01-31T20:00:00Z,2026-02-01T01:00:00+05:00,1,24h,0,0.0098,0.0111,0.0106,0.0,0.0277,0.42,day1,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-01-31T21:00:00Z,2026-02-01T02:00:00+05:00,2,24h,0,0.0148,0.0087,0.011,0.0,0.0278,0.4,day1,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-01-31T22:00:00Z,2026-02-01T03:00:00+05:00,3,24h,0,0.0094,0.0122,0.0187,0.0,0.0706,0.96,day1,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-01-31T23:00:00Z,2026-02-01T04:00:00+05:00,4,24h,0,0.0085,0.0089,0.0092,0.0,0.031,0.8,day1,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-01T00:00:00Z,2026-02-01T05:00:00+05:00,5,24h,0,0.016,0.0083,0.0221,0.0,0.1281,1.49,day1,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-01T01:00:00Z,2026-02-01T06:00:00+05:00,6,24h,0,0.0128,0.0133,0.0245,0.0,0.1258,2.12,day1,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-01T02:00:00Z,2026-02-01T07:00:00+05:00,7,24h,0,0.015,0.0201,0.02,0.0,0.2231,3.33,day1,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-01T03:00:00Z,2026-02-01T08:00:00+05:00,8,24h,0,0.0876,0.0848,0.0647,0.0,0.5342,5.05,day1,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-01T04:00:00Z,2026-02-01T09:00:00+05:00,9,24h,0,0.0739,0.0707,0.0519,0.0,0.4102,4.83,day1,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-01T05:00:00Z,2026-02-01T10:00:00+05:00,10,24h,0,0.0803,0.0917,0.0861,0.0,0.5113,4.53,day1,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-01T06:00:00Z,2026-02-01T11:00:00+05:00,11,24h,0,0.0496,0.0484,0.045,0.0,0.4322,3.59,day1,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-01T07:00:00Z,2026-02-01T12:00:00+05:00,12,24h,0,0.1099,0.0993,0.1019,0.0046,0.5861,3.86,day1,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-01T08:00:00Z,2026-02-01T13:00:00+05:00,13,24h,0,0.1351,0.1184,0.1463,0.0061,0.6712,4.12,day1,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-01T09:00:00Z,2026-02-01T14:00:00+05:00,14,24h,0,0.1552,0.1236,0.1471,0.0068,0.6867,4.25,day1,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-01T10:00:00Z,2026-02-01T15:00:00+05:00,15,24h,0,0.1479,0.1302,0.1597,0.0071,0.6814,4.31,day1,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-01T11:00:00Z,2026-02-01T16:00:00+05:00,16,24h,0,0.2838,0.269,0.2891,0.0462,0.9052,5.69,day1,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-01T12:00:00Z,2026-02-01T17:00:00+05:00,17,24h,0,0.2332,0.2368,0.2337,0.0,0.835,5.91,day2,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-01T13:00:00Z,2026-02-01T18:00:00+05:00,18,24h,0,0.2097,0.1984,0.1966,0.0,0.7834,6.06,day2,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-01T14:00:00Z,2026-02-01T19:00:00+05:00,19,24h,0,0.2308,0.2091,0.2154,0.0,0.8182,6.03,day2,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-01T15:00:00Z,2026-02-01T20:00:00+05:00,20,24h,0,0.2543,0.2282,0.2784,0.0,0.834,6.49,day2,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-01T16:00:00Z,2026-02-01T21:00:00+05:00,21,24h,0,0.2624,0.2328,0.2871,0.0024,0.8488,6.5,day2,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-01T17:00:00Z,2026-02-01T22:00:00+05:00,22,24h,0,0.2519,0.2292,0.2715,0.0079,0.8433,6.58,day2,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-01T18:00:00Z,2026-02-01T23:00:00+05:00,23,24h,0,0.194,0.185,0.199,0.0,0.8162,5.97,day2,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-01T19:00:00Z,2026-02-02T00:00:00+05:00,24,48h,0,0.1682,0.1627,0.1866,0.0,0.8177,5.71,day2,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-01T20:00:00Z,2026-02-02T01:00:00+05:00,25,48h,0,0.1902,0.1799,0.1873,0.0,0.8172,6.04,day2,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-01T21:00:00Z,2026-02-02T02:00:00+05:00,26,48h,0,0.1884,0.1759,0.1849,0.0,0.7888,6.13,day2,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-01T22:00:00Z,2026-02-02T03:00:00+05:00,27,48h,0,0.2417,0.2067,0.2238,0.0,0.8045,6.17,day2,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-01T23:00:00Z,2026-02-02T04:00:00+05:00,28,48h,0,0.2553,0.2312,0.2549,0.0,0.8837,6.15,day2,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-02T00:00:00Z,2026-02-02T05:00:00+05:00,29,48h,0,0.2884,0.2526,0.2943,0.0103,0.8992,6.42,day2,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-02T01:00:00Z,2026-02-02T06:00:00+05:00,30,48h,0,0.2777,0.2431,0.2851,0.0082,0.8953,6.38,day2,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-02T02:00:00Z,2026-02-02T07:00:00+05:00,31,48h,0,0.2801,0.2514,0.2831,0.0121,0.8723,6.56,day2,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-02T03:00:00Z,2026-02-02T08:00:00+05:00,32,48h,0,0.3668,0.3473,0.3638,0.0349,0.943,6.53,day2,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-02T04:00:00Z,2026-02-02T09:00:00+05:00,33,48h,0,0.5907,0.5413,0.5457,0.1852,1.0,7.22,day2,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-02T05:00:00Z,2026-02-02T10:00:00+05:00,34,48h,0,0.5048,0.5113,0.538,0.1684,0.9652,6.55,day2,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-02T06:00:00Z,2026-02-02T11:00:00+05:00,35,48h,0,0.6916,0.6848,0.7697,0.4244,0.9987,7.31,day2,best_match,gbm,False,20260201T0000-f598e3
2026-01-31T19:00:00Z,2026-02-01T00:00:00+05:00,2026-02-02T07:00:00Z,2026-02-02T12:00:00+05:00,36,48h,0,0.8317,0.8871,0.8811,0.537,1.0,8.2,day2,best_match,gbm,False,20260201T0000-f598e3
