target_time_utc,target_time_local,power_farm_plan,power_t1_plan,power_t2_plan,p10_plan,p90_plan,plan_revision,plan_run_id,power_farm_bid,bid_run_id,plan_mw
2026-01-31 19:00:00+00:00,2026-02-01T00:00:00+05:00,0.0147,0.0175,0.0141,0.0,0.0495,0,20260201T0000-746a3f,,,0.074
2026-01-31 20:00:00+00:00,2026-02-01T01:00:00+05:00,0.0085,0.0102,0.0099,0.0,0.0412,0,20260201T0000-746a3f,,,0.042
2026-01-31 21:00:00+00:00,2026-02-01T02:00:00+05:00,0.0066,0.0069,0.0103,0.0,0.0464,0,20260201T0000-746a3f,,,0.033
2026-01-31 22:00:00+00:00,2026-02-01T03:00:00+05:00,0.0105,0.0118,0.0166,0.0,0.0345,0,20260201T0000-746a3f,,,0.053
2026-01-31 23:00:00+00:00,2026-02-01T04:00:00+05:00,0.0079,0.0074,0.0086,0.0,0.0358,0,20260201T0000-746a3f,,,0.04
2026-02-01 00:00:00+00:00,2026-02-01T05:00:00+05:00,0.008,0.0155,0.0158,0.0,0.0748,0,20260201T0000-746a3f,,,0.04
2026-02-01 01:00:00+00:00,2026-02-01T06:00:00+05:00,0.0141,0.0183,0.0162,0.0,0.095,0,20260201T0000-746a3f,,,0.07
2026-02-01 02:00:00+00:00,2026-02-01T07:00:00+05:00,0.0167,0.0325,0.0204,0.0,0.1775,0,20260201T0000-746a3f,,,0.083
2026-02-01 03:00:00+00:00,2026-02-01T08:00:00+05:00,0.0762,0.0918,0.0686,0.0,0.5395,0,20260201T0000-746a3f,,,0.381
2026-02-01 04:00:00+00:00,2026-02-01T09:00:00+05:00,0.0481,0.0798,0.0582,0.0,0.4985,0,20260201T0000-746a3f,,,0.24
2026-02-01 05:00:00+00:00,2026-02-01T10:00:00+05:00,0.0785,0.0754,0.0908,0.0,0.5545,0,20260201T0000-746a3f,,,0.392
2026-02-01 06:00:00+00:00,2026-02-01T11:00:00+05:00,0.0451,0.0523,0.0539,0.0,0.4231,0,20260201T0000-746a3f,,,0.226
2026-02-01 07:00:00+00:00,2026-02-01T12:00:00+05:00,0.1049,0.091,0.0943,0.0068,0.5048,0,20260201T0000-746a3f,,,0.524
2026-02-01 08:00:00+00:00,2026-02-01T13:00:00+05:00,0.1247,0.1159,0.121,0.0102,0.6143,0,20260201T0000-746a3f,,,0.624
2026-02-01 09:00:00+00:00,2026-02-01T14:00:00+05:00,0.1536,0.1296,0.1412,0.0114,0.6174,1,20260201T0000-746a3f,,,0.768
2026-02-01 10:00:00+00:00,2026-02-01T15:00:00+05:00,0.1605,0.1393,0.1489,0.0121,0.6227,1,20260201T0000-746a3f,,,0.802
2026-02-01 11:00:00+00:00,2026-02-01T16:00:00+05:00,0.3436,0.3282,0.3325,0.0253,0.8875,1,20260201T0000-746a3f,,,1.718
2026-02-01 12:00:00+00:00,2026-02-01T17:00:00+05:00,0.1964,0.2013,0.2077,0.0011,0.6537,1,20260201T0000-746a3f,,,0.982
2026-02-01 13:00:00+00:00,2026-02-01T18:00:00+05:00,0.1608,0.172,0.165,0.0043,0.6538,1,20260201T0000-746a3f,,,0.804
2026-02-01 14:00:00+00:00,2026-02-01T19:00:00+05:00,0.1692,0.1743,0.1713,0.0003,0.6701,1,20260201T0000-746a3f,,,0.846
2026-02-01 15:00:00+00:00,2026-02-01T20:00:00+05:00,0.1757,0.185,0.1703,0.0007,0.7126,1,20260201T0000-746a3f,,,0.878
2026-02-01 16:00:00+00:00,2026-02-01T21:00:00+05:00,0.2019,0.2064,0.2071,0.0029,0.7317,1,20260201T0000-746a3f,,,1.01
