hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-02-07 00:00,4.137,1.7,5.0
2026-02-07 01:00,3.98,1.679,4.957
2026-02-07 02:00,3.052,0.726,4.93
2026-02-07 03:00,2.3,0.412,4.458
2026-02-07 04:00,2.04,0.148,4.457
2026-02-07 05:00,0.862,0.0,3.35
2026-02-07 06:00,0.478,0.0,2.528
2026-02-07 07:00,0.096,0.0,1.222
2026-02-07 08:00,0.056,0.0,0.369
2026-02-07 09:00,0.089,0.0,0.878
2026-02-07 10:00,0.107,0.0,1.457
2026-02-07 11:00,0.256,0.0,2.186
2026-02-07 12:00,0.638,0.0,3.006
2026-02-07 13:00,0.88,0.119,3.574
2026-02-07 14:00,0.903,0.022,3.406
2026-02-07 15:00,0.55,0.0,2.556
2026-02-07 16:00,0.448,0.0,2.314
2026-02-07 17:00,0.372,0.0,2.692
2026-02-07 18:00,1.378,0.0,4.095
2026-02-07 19:00,3.106,0.6,4.748
2026-02-07 20:00,3.53,0.911,4.778
2026-02-07 21:00,3.127,0.608,4.757
2026-02-07 22:00,2.962,0.5,4.73
2026-02-07 23:00,3.207,0.696,4.752
